[2022-07-13 22:54:32,569] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:32,570] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:54:32,570] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:32,570] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:54:35,582] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:54:35,582] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:54:35,583] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:35,583] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:54:35,583] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:35,583] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:54:38,595] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:54:38,595] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:54:38,596] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:38,596] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:54:38,596] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:38,596] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:54:41,610] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:54:41,610] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9533656305881872
[2022-07-13 22:54:41,611] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:54:41,611] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9558006342936487
[2022-07-13 22:54:41,611] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:54:41,611] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:55:53,559] [BBIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 22:55:54,009] [BBIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 22:55:54,428] [BBIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 22:55:54,811] [BBIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 22:55:56,815] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:55:56,815] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:55:56,815] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:55:56,815] [BBIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 22:55:56,816] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:55:56,816] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:55:59,831] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:55:59,831] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:55:59,831] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:55:59,831] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:55:59,832] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:55:59,832] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:02,835] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:02,836] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:02,836] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:02,836] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:02,836] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:56:02,837] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:05,847] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:05,848] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:05,848] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:05,848] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:05,848] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:56:05,848] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:08,855] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:08,855] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:08,856] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:08,856] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:08,856] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:56:08,856] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:11,862] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:11,862] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:11,862] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:11,862] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:11,863] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:56:11,863] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:14,869] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:14,869] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:14,869] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:14,869] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:14,870] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 22:56:14,870] [BBIndicator] [get_results] [INFO]: Percent result is: 0.01
[2022-07-13 22:56:17,880] [BBIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 22:56:17,881] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9538604887370576
[2022-07-13 22:56:17,881] [BBIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 22:56:17,881] [BBIndicator] [get_results] [INFO]: Percent result is: 1.9567317129374509
[2022-07-13 22:56:17,882] [BBIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
