[2022-07-13 21:17:25,360] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476027604351035
[2022-07-13 21:17:25,360] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:17:25,360] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 21:17:25,360] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:17:25,361] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:17:28,373] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:17:28,373] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476027604351035
[2022-07-13 21:17:28,374] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:17:28,374] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 21:17:28,374] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:17:28,374] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:18:12,893] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 21:18:13,267] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 21:18:14,525] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 21:18:14,888] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 21:18:16,904] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:18:16,904] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476027604351035
[2022-07-13 21:18:16,904] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:18:16,904] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 21:18:16,904] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:18:16,904] [MAIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-13 21:18:19,904] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 21:18:19,904] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0476027604351035
[2022-07-13 21:18:19,904] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 21:18:19,904] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 21:18:19,904] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 21:18:19,904] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 21:19:23,092] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 21:19:23,456] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 21:19:23,845] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 21:19:24,206] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 21:19:26,211] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
