[2022-07-31 21:38:26,022] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:38:26,022] [RSIIndicator] [get_results] [INFO]: Percent result is: HOLD
[2022-07-31 21:38:31,318] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:38:31,318] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:38:31,318] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:38:33,304] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:38:33,304] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:38:36,350] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:38:36,350] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:38:36,350] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:38:37,631] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:38:37,631] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:38:39,491] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:38:39,506] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:38:39,506] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:38:41,026] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:38:41,026] [RSIIndicator] [get_results] [INFO]: Percent result is: HOLD
[2022-07-31 21:38:44,475] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:38:44,490] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:38:44,490] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:38:46,756] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:38:46,756] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:38:51,084] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:38:51,100] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:38:51,100] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:38:53,256] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:38:53,256] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:00,938] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:39:00,953] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:00,953] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:02,918] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:02,918] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:05,576] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:39:05,592] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:05,592] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:07,404] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:07,404] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:10,155] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:39:10,170] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:10,170] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:11,592] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:11,592] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:14,967] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:39:14,967] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:14,967] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:16,904] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:16,904] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:20,232] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:39:20,232] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:20,232] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:22,810] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:22,810] [RSIIndicator] [get_results] [INFO]: Percent result is: HOLD
[2022-07-31 21:39:26,200] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:39:26,200] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:26,200] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:27,481] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:27,481] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:30,950] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:39:30,950] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:30,950] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:33,560] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:33,560] [RSIIndicator] [get_results] [INFO]: Percent result is: HOLD
[2022-07-31 21:39:35,856] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:39:35,856] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:35,856] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:37,794] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:37,809] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:40,559] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:39:40,559] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:40,559] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:42,543] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:42,559] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:50,184] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:39:50,184] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:50,184] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:52,262] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:52,262] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:55,636] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:39:55,636] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:55,636] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:39:57,700] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:39:57,700] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:00,669] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:40:00,685] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:00,685] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:02,764] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:02,764] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:08,935] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:40:08,951] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:08,951] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:11,560] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:11,560] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:16,263] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:40:16,278] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:16,278] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:18,325] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:18,325] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:21,075] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:40:21,075] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:21,075] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:22,919] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:22,919] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:26,670] [RSIIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-31 21:40:26,670] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:26,670] [RSIIndicator] [get_results] [INFO]: Percent result is: None
[2022-07-31 21:40:29,185] [RSIIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-31 21:40:29,185] [RSIIndicator] [get_results] [INFO]: Percent result is: None
