[2022-07-06 23:10:38,529] [indiTest] [check] [INFO]: Sold 14416.4, Currency: BURGER
[2022-07-06 23:10:38,529] [indiTest] [check] [INFO]: Sold 14416.4, Currency: BURGER
[2022-07-06 23:10:38,529] [indiTest] [check] [INFO]: Sold 1268.2, Currency: BURGER
[2022-07-06 23:10:38,529] [indiTest] [check] [INFO]: Sold 1268.2, Currency: BURGER
[2022-07-06 23:10:38,529] [indiTest] [check] [INFO]: Sold 1470.8, Currency: BURGER
[2022-07-06 23:10:38,529] [indiTest] [check] [INFO]: Sold 1470.8, Currency: BURGER
[2022-07-06 23:10:38,530] [indiTest] [check] [INFO]: Sold 2093.0, Currency: BURGER
[2022-07-06 23:10:38,530] [indiTest] [check] [INFO]: Sold 2093.0, Currency: BURGER
[2022-07-06 23:10:38,530] [indiTest] [check] [INFO]: Sold 12315.6, Currency: BURGER
[2022-07-06 23:10:38,530] [indiTest] [check] [INFO]: Sold 12315.6, Currency: BURGER
[2022-07-06 23:10:38,530] [indiTest] [check] [INFO]: Sold 1064.9, Currency: BURGER
[2022-07-06 23:10:38,530] [indiTest] [check] [INFO]: Sold 1064.9, Currency: BURGER
[2022-07-06 23:10:38,530] [indiTest] [check] [INFO]: Sold 2765.3, Currency: BURGER
[2022-07-06 23:10:38,530] [indiTest] [check] [INFO]: Sold 2765.3, Currency: BURGER
[2022-07-06 23:10:38,530] [indiTest] [check] [INFO]: Sold 5945.2, Currency: BURGER
[2022-07-06 23:10:38,530] [indiTest] [check] [INFO]: Sold 5945.2, Currency: BURGER
[2022-07-06 23:10:38,531] [indiTest] [check] [INFO]: Sold 2088.8, Currency: BURGER
[2022-07-06 23:10:38,531] [indiTest] [check] [INFO]: Sold 2088.8, Currency: BURGER
[2022-07-06 23:10:38,531] [indiTest] [check] [INFO]: Sold 1050.9, Currency: BURGER
[2022-07-06 23:10:38,531] [indiTest] [check] [INFO]: Sold 1050.9, Currency: BURGER
[2022-07-06 23:10:38,531] [indiTest] [check] [INFO]: Sold 1133.8, Currency: BURGER
[2022-07-06 23:10:38,531] [indiTest] [check] [INFO]: Sold 1133.8, Currency: BURGER
[2022-07-06 23:10:38,532] [indiTest] [check] [INFO]: Sold 15946.3, Currency: BURGER
[2022-07-06 23:10:38,532] [indiTest] [check] [INFO]: Sold 15946.3, Currency: BURGER
[2022-07-06 23:11:11,914] [indiTest] [init_logger] [INFO]: Initialize logger
